task,seed,rcrps,error
MontrealFireIceRescueImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireNauticalRescueAnalogyFullLocalizationMaybeWaterTask,1,,AION_ABSTAINED: Need at least 8 observations (have 3) for degraded forecasting. A horizon of 1 or less is supportable with the current history; retry with --horizon 1.
MontrealFireNauticalRescueAnalogyTargetLocalizationMaybeWaterTask,1,,AION_ABSTAINED: Need at least 8 observations (have 3) for degraded forecasting. A horizon of 1 or less is supportable with the current history; retry with --horizon 1.
MontrealFireNauticalRescueExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireNauticalRescueImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleConvincingToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleConvincingToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleNeutralToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleNeutralToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalConvincingToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalConvincingToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalNeutralToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalNeutralToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashFireExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashFireImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
OraclePredUnivariateConstraintsTask,1,5.050519079126665,
SensorMaintenanceInPredictionTask,1,0.2113523761697587,
SensorPeriodicMaintenanceTask,1,0.2994116832085853,
SensorSpikeTask,1,0.10542557753797394,
SensorTrendAccumulationTask,1,0.6417791059776133,
ShortNewsElectricityIncreaseInPredictionTask,1,0.03723190839957924,
SimilarLocationDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
SimilarLocationWithReferenceDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
SpeedFromLoadTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
UnemploymentCountyUsingExplicitMultipleStateData,1,,AION_ABSTAINED: Need at least 8 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
UnemploymentCountyUsingMultipleStateData,1,,AION_ABSTAINED: Need at least 8 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
UnemploymentCountyUsingSingleStateData,1,,AION_ABSTAINED: Need at least 8 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
ZenithInfoHalfDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
