task,seed,rcrps,error
MontrealFireFieldFireImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireIceRescueExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireIceRescueImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireNauticalRescueAnalogyFullLocalizationMaybeWaterTask,1,,AION_ABSTAINED: Need at least 8 observations (have 3) for degraded forecasting. A horizon of 1 or less is supportable with the current history; retry with --horizon 1.
MontrealFireNauticalRescueAnalogyTargetLocalizationMaybeWaterTask,1,,AION_ABSTAINED: Need at least 8 observations (have 3) for degraded forecasting. A horizon of 1 or less is supportable with the current history; retry with --horizon 1.
MontrealFireNauticalRescueExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireNauticalRescueImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleConvincingToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleConvincingToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleNeutralToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndBicycleNeutralToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalConvincingToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalConvincingToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalNeutralToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashAndNauticalNeutralToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashFireExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireTrashFireImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
OraclePredUnivariateConstraintsTask,1,1.9714137950029085,
SensorMaintenanceInPredictionTask,1,0.2454420318233904,
SensorPeriodicMaintenanceTask,1,0.31200941755055406,
SensorSpikeTask,1,0.04157565431352926,
SensorTrendAccumulationTask,1,0.7838450319635029,
ShortNewsElectricityIncreaseInPredictionTask,1,0.03860229864004082,
SimilarLocationDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
SimilarLocationWithReferenceDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
SpeedFromLoadTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
UnemploymentCountyUsingExplicitMultipleStateData,1,,AION_ABSTAINED: Need at least 8 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
UnemploymentCountyUsingMultipleStateData,1,,AION_ABSTAINED: Need at least 8 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
UnemploymentCountyUsingSingleStateData,1,,AION_ABSTAINED: Need at least 8 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
ZenithInfoHalfDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
